harness,model,thinking,condition,sample_id,epoch,correct
PositAssistant,Haiku 4.5,None,intuitive,banana_sunlight_negative,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_bimodal_clusters,3,0
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_difference,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_no_difference,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_category_time_growth,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_department_values,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_negative_correlation,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_no_correlation,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_correlation,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_subgroups,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_product_sales,3,1
PositAssistant,Haiku 4.5,None,baseline,baseline_quadratic,3,0
PositAssistant,Haiku 4.5,None,baseline,baseline_temperature_energy,3,0
PositAssistant,Haiku 4.5,None,baseline,baseline_threshold_effect,3,1
PositAssistant,Haiku 4.5,None,intuitive,battery_temperature_flat,3,1
PositAssistant,Haiku 4.5,None,mocked,chickweight_final_weight_inversion,3,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_reversal,3,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_scramble,3,0
PositAssistant,Haiku 4.5,None,intuitive,cities_commute_reversal,3,1
PositAssistant,Haiku 4.5,None,mocked,diamonds_carat_price_reversal,3,0
PositAssistant,Haiku 4.5,None,mocked,diamonds_color_conditional,3,0
PositAssistant,Haiku 4.5,None,intuitive,doug_firs_inverted_u,3,0
PositAssistant,Haiku 4.5,None,intuitive,ecosystems_latitude_reversal,3,0
PositAssistant,Haiku 4.5,None,intuitive,elevations_discontinuity,3,0
PositAssistant,Haiku 4.5,None,intuitive,fertilizer_yield_negative,3,1
PositAssistant,Haiku 4.5,None,mocked,iris_length_inverted,3,0
PositAssistant,Haiku 4.5,None,mocked,iris_species_swapped,3,0
PositAssistant,Haiku 4.5,None,mocked,iris_width_species_conditional,3,1
PositAssistant,Haiku 4.5,None,mocked,mtcars_am_swapped,3,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_cyl_swapped,3,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_hp_inverted,3,0
PositAssistant,Haiku 4.5,None,intuitive,patients_treatment_reversal,3,1
PositAssistant,Haiku 4.5,None,intuitive,screen_time_threshold,3,0
PositAssistant,Haiku 4.5,None,intuitive,structures_material_reversal,3,1
PositAssistant,Haiku 4.5,None,intuitive,study_time_discontinuity,3,0
PositAssistant,Haiku 4.5,None,intuitive,traffic_speed_positive,3,1
PositAssistant,Haiku 4.5,None,intuitive,antibiotics_bacteria_growth,4,1
PositAssistant,Haiku 4.5,None,intuitive,banana_sunlight_negative,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_bimodal_clusters,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_difference,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_no_difference,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_category_time_growth,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_department_values,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_negative_correlation,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_no_correlation,4,0
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_correlation,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_subgroups,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_product_sales,4,1
PositAssistant,Haiku 4.5,None,baseline,baseline_quadratic,4,0
PositAssistant,Haiku 4.5,None,baseline,baseline_temperature_energy,4,0
PositAssistant,Haiku 4.5,None,baseline,baseline_threshold_effect,4,0
PositAssistant,Haiku 4.5,None,intuitive,battery_temperature_flat,4,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_final_weight_inversion,4,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_reversal,4,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_scramble,4,0
PositAssistant,Haiku 4.5,None,intuitive,cities_commute_reversal,4,1
PositAssistant,Haiku 4.5,None,mocked,diamonds_carat_price_reversal,4,0
PositAssistant,Haiku 4.5,None,mocked,diamonds_color_conditional,4,1
PositAssistant,Haiku 4.5,None,intuitive,doug_firs_inverted_u,4,0
PositAssistant,Haiku 4.5,None,intuitive,ecosystems_latitude_reversal,4,0
PositAssistant,Haiku 4.5,None,intuitive,elevations_discontinuity,4,0
PositAssistant,Haiku 4.5,None,intuitive,fertilizer_yield_negative,4,1
PositAssistant,Haiku 4.5,None,mocked,iris_length_inverted,4,0
PositAssistant,Haiku 4.5,None,mocked,iris_species_swapped,4,1
PositAssistant,Haiku 4.5,None,mocked,iris_width_species_conditional,4,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_am_swapped,4,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_cyl_swapped,4,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_hp_inverted,4,0
PositAssistant,Haiku 4.5,None,intuitive,patients_treatment_reversal,4,1
PositAssistant,Haiku 4.5,None,intuitive,screen_time_threshold,4,1
PositAssistant,Haiku 4.5,None,intuitive,structures_material_reversal,4,1
PositAssistant,Haiku 4.5,None,intuitive,study_time_discontinuity,4,0
PositAssistant,Haiku 4.5,None,intuitive,traffic_speed_positive,4,1
PositAssistant,Haiku 4.5,None,intuitive,antibiotics_bacteria_growth,5,1
PositAssistant,Haiku 4.5,None,intuitive,banana_sunlight_negative,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_bimodal_clusters,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_difference,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_categorical_no_difference,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_category_time_growth,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_department_values,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_negative_correlation,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_no_correlation,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_correlation,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_positive_subgroups,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_product_sales,5,1
PositAssistant,Haiku 4.5,None,baseline,baseline_quadratic,5,0
PositAssistant,Haiku 4.5,None,baseline,baseline_temperature_energy,5,0
PositAssistant,Haiku 4.5,None,baseline,baseline_threshold_effect,5,1
PositAssistant,Haiku 4.5,None,intuitive,battery_temperature_flat,5,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_final_weight_inversion,5,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_reversal,5,0
PositAssistant,Haiku 4.5,None,mocked,chickweight_time_scramble,5,0
PositAssistant,Haiku 4.5,None,intuitive,cities_commute_reversal,5,1
PositAssistant,Haiku 4.5,None,mocked,diamonds_carat_price_reversal,5,0
PositAssistant,Haiku 4.5,None,mocked,diamonds_color_conditional,5,0
PositAssistant,Haiku 4.5,None,intuitive,doug_firs_inverted_u,5,0
PositAssistant,Haiku 4.5,None,intuitive,ecosystems_latitude_reversal,5,0
PositAssistant,Haiku 4.5,None,intuitive,elevations_discontinuity,5,0
PositAssistant,Haiku 4.5,None,intuitive,fertilizer_yield_negative,5,1
PositAssistant,Haiku 4.5,None,mocked,iris_length_inverted,5,0
PositAssistant,Haiku 4.5,None,mocked,iris_species_swapped,5,0
PositAssistant,Haiku 4.5,None,mocked,iris_width_species_conditional,5,1
PositAssistant,Haiku 4.5,None,mocked,mtcars_am_swapped,5,1
PositAssistant,Haiku 4.5,None,mocked,mtcars_cyl_swapped,5,0
PositAssistant,Haiku 4.5,None,mocked,mtcars_hp_inverted,5,0
PositAssistant,Haiku 4.5,None,intuitive,patients_treatment_reversal,5,1
PositAssistant,Haiku 4.5,None,intuitive,screen_time_threshold,5,0
PositAssistant,Haiku 4.5,None,intuitive,structures_material_reversal,5,1
PositAssistant,Haiku 4.5,None,intuitive,study_time_discontinuity,5,0
PositAssistant,Haiku 4.5,None,intuitive,traffic_speed_positive,5,0
PositAssistant,Opus 4.8,Medium,intuitive,antibiotics_bacteria_growth,1,1
PositAssistant,Opus 4.8,Medium,intuitive,banana_sunlight_negative,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_bimodal_clusters,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_difference,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_no_difference,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_category_time_growth,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_department_values,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_negative_correlation,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_no_correlation,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_correlation,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_subgroups,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_product_sales,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_quadratic,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_temperature_energy,1,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_threshold_effect,1,1
PositAssistant,Opus 4.8,Medium,intuitive,battery_temperature_flat,1,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_final_weight_inversion,1,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_reversal,1,0
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_scramble,1,0
PositAssistant,Opus 4.8,Medium,intuitive,cities_commute_reversal,1,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_carat_price_reversal,1,0
PositAssistant,Opus 4.8,Medium,mocked,diamonds_color_conditional,1,1
PositAssistant,Opus 4.8,Medium,intuitive,doug_firs_inverted_u,1,1
PositAssistant,Opus 4.8,Medium,intuitive,ecosystems_latitude_reversal,1,1
PositAssistant,Opus 4.8,Medium,intuitive,elevations_discontinuity,1,1
PositAssistant,Opus 4.8,Medium,intuitive,fertilizer_yield_negative,1,1
PositAssistant,Opus 4.8,Medium,mocked,iris_length_inverted,1,1
PositAssistant,Opus 4.8,Medium,mocked,iris_species_swapped,1,1
PositAssistant,Opus 4.8,Medium,mocked,iris_width_species_conditional,1,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_am_swapped,1,0
PositAssistant,Opus 4.8,Medium,mocked,mtcars_cyl_swapped,1,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_hp_inverted,1,1
PositAssistant,Opus 4.8,Medium,intuitive,patients_treatment_reversal,1,1
PositAssistant,Opus 4.8,Medium,intuitive,screen_time_threshold,1,1
PositAssistant,Opus 4.8,Medium,intuitive,structures_material_reversal,1,1
PositAssistant,Opus 4.8,Medium,intuitive,study_time_discontinuity,1,1
PositAssistant,Opus 4.8,Medium,intuitive,traffic_speed_positive,1,1
PositAssistant,Opus 4.8,Medium,intuitive,antibiotics_bacteria_growth,2,1
PositAssistant,Opus 4.8,Medium,intuitive,banana_sunlight_negative,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_bimodal_clusters,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_difference,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_no_difference,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_category_time_growth,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_department_values,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_negative_correlation,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_no_correlation,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_correlation,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_subgroups,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_product_sales,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_quadratic,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_temperature_energy,2,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_threshold_effect,2,1
PositAssistant,Opus 4.8,Medium,intuitive,battery_temperature_flat,2,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_final_weight_inversion,2,0
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_reversal,2,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_scramble,2,0
PositAssistant,Opus 4.8,Medium,intuitive,cities_commute_reversal,2,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_carat_price_reversal,2,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_color_conditional,2,1
PositAssistant,Opus 4.8,Medium,intuitive,doug_firs_inverted_u,2,1
PositAssistant,Opus 4.8,Medium,intuitive,ecosystems_latitude_reversal,2,1
PositAssistant,Opus 4.8,Medium,intuitive,elevations_discontinuity,2,1
PositAssistant,Opus 4.8,Medium,intuitive,fertilizer_yield_negative,2,1
PositAssistant,Opus 4.8,Medium,mocked,iris_length_inverted,2,1
PositAssistant,Opus 4.8,Medium,mocked,iris_species_swapped,2,1
PositAssistant,Opus 4.8,Medium,mocked,iris_width_species_conditional,2,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_am_swapped,2,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_cyl_swapped,2,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_hp_inverted,2,1
PositAssistant,Opus 4.8,Medium,intuitive,patients_treatment_reversal,2,1
PositAssistant,Opus 4.8,Medium,intuitive,screen_time_threshold,2,1
PositAssistant,Opus 4.8,Medium,intuitive,structures_material_reversal,2,1
PositAssistant,Opus 4.8,Medium,intuitive,study_time_discontinuity,2,1
PositAssistant,Opus 4.8,Medium,intuitive,traffic_speed_positive,2,1
PositAssistant,Opus 4.8,Medium,intuitive,antibiotics_bacteria_growth,3,1
PositAssistant,Opus 4.8,Medium,intuitive,banana_sunlight_negative,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_bimodal_clusters,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_difference,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_no_difference,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_category_time_growth,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_department_values,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_negative_correlation,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_no_correlation,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_correlation,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_subgroups,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_product_sales,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_quadratic,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_temperature_energy,3,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_threshold_effect,3,1
PositAssistant,Opus 4.8,Medium,intuitive,battery_temperature_flat,3,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_final_weight_inversion,3,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_reversal,3,0
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_scramble,3,0
PositAssistant,Opus 4.8,Medium,intuitive,cities_commute_reversal,3,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_carat_price_reversal,3,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_color_conditional,3,1
PositAssistant,Opus 4.8,Medium,intuitive,doug_firs_inverted_u,3,1
PositAssistant,Opus 4.8,Medium,intuitive,ecosystems_latitude_reversal,3,1
PositAssistant,Opus 4.8,Medium,intuitive,elevations_discontinuity,3,1
PositAssistant,Opus 4.8,Medium,intuitive,fertilizer_yield_negative,3,1
PositAssistant,Opus 4.8,Medium,mocked,iris_length_inverted,3,1
PositAssistant,Opus 4.8,Medium,mocked,iris_species_swapped,3,1
PositAssistant,Opus 4.8,Medium,mocked,iris_width_species_conditional,3,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_am_swapped,3,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_cyl_swapped,3,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_hp_inverted,3,1
PositAssistant,Opus 4.8,Medium,intuitive,patients_treatment_reversal,3,1
PositAssistant,Opus 4.8,Medium,intuitive,screen_time_threshold,3,1
PositAssistant,Opus 4.8,Medium,intuitive,structures_material_reversal,3,1
PositAssistant,Opus 4.8,Medium,intuitive,study_time_discontinuity,3,1
PositAssistant,Opus 4.8,Medium,intuitive,traffic_speed_positive,3,1
PositAssistant,Opus 4.8,Medium,intuitive,antibiotics_bacteria_growth,4,1
PositAssistant,Opus 4.8,Medium,intuitive,banana_sunlight_negative,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_bimodal_clusters,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_difference,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_no_difference,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_category_time_growth,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_department_values,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_negative_correlation,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_no_correlation,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_correlation,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_subgroups,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_product_sales,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_quadratic,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_temperature_energy,4,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_threshold_effect,4,1
PositAssistant,Opus 4.8,Medium,intuitive,battery_temperature_flat,4,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_final_weight_inversion,4,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_reversal,4,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_scramble,4,0
PositAssistant,Opus 4.8,Medium,intuitive,cities_commute_reversal,4,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_carat_price_reversal,4,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_color_conditional,4,1
PositAssistant,Opus 4.8,Medium,intuitive,doug_firs_inverted_u,4,1
PositAssistant,Opus 4.8,Medium,intuitive,ecosystems_latitude_reversal,4,1
PositAssistant,Opus 4.8,Medium,intuitive,elevations_discontinuity,4,1
PositAssistant,Opus 4.8,Medium,intuitive,fertilizer_yield_negative,4,1
PositAssistant,Opus 4.8,Medium,mocked,iris_length_inverted,4,1
PositAssistant,Opus 4.8,Medium,mocked,iris_species_swapped,4,1
PositAssistant,Opus 4.8,Medium,mocked,iris_width_species_conditional,4,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_am_swapped,4,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_cyl_swapped,4,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_hp_inverted,4,1
PositAssistant,Opus 4.8,Medium,intuitive,patients_treatment_reversal,4,1
PositAssistant,Opus 4.8,Medium,intuitive,screen_time_threshold,4,1
PositAssistant,Opus 4.8,Medium,intuitive,structures_material_reversal,4,1
PositAssistant,Opus 4.8,Medium,intuitive,study_time_discontinuity,4,1
PositAssistant,Opus 4.8,Medium,intuitive,traffic_speed_positive,4,1
PositAssistant,Opus 4.8,Medium,intuitive,antibiotics_bacteria_growth,5,1
PositAssistant,Opus 4.8,Medium,intuitive,banana_sunlight_negative,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_bimodal_clusters,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_difference,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_categorical_no_difference,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_category_time_growth,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_department_values,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_negative_correlation,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_no_correlation,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_correlation,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_positive_subgroups,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_product_sales,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_quadratic,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_temperature_energy,5,1
PositAssistant,Opus 4.8,Medium,baseline,baseline_threshold_effect,5,1
PositAssistant,Opus 4.8,Medium,intuitive,battery_temperature_flat,5,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_final_weight_inversion,5,0
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_reversal,5,1
PositAssistant,Opus 4.8,Medium,mocked,chickweight_time_scramble,5,0
PositAssistant,Opus 4.8,Medium,intuitive,cities_commute_reversal,5,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_carat_price_reversal,5,1
PositAssistant,Opus 4.8,Medium,mocked,diamonds_color_conditional,5,1
PositAssistant,Opus 4.8,Medium,intuitive,doug_firs_inverted_u,5,1
PositAssistant,Opus 4.8,Medium,intuitive,ecosystems_latitude_reversal,5,1
PositAssistant,Opus 4.8,Medium,intuitive,elevations_discontinuity,5,1
PositAssistant,Opus 4.8,Medium,intuitive,fertilizer_yield_negative,5,1
PositAssistant,Opus 4.8,Medium,mocked,iris_length_inverted,5,1
PositAssistant,Opus 4.8,Medium,mocked,iris_species_swapped,5,1
PositAssistant,Opus 4.8,Medium,mocked,iris_width_species_conditional,5,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_am_swapped,5,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_cyl_swapped,5,1
PositAssistant,Opus 4.8,Medium,mocked,mtcars_hp_inverted,5,1
PositAssistant,Opus 4.8,Medium,intuitive,patients_treatment_reversal,5,1
PositAssistant,Opus 4.8,Medium,intuitive,screen_time_threshold,5,1
PositAssistant,Opus 4.8,Medium,intuitive,structures_material_reversal,5,1
